Timestamp,Pais,Código de participante,Ud es:,1. Entregaría recomendaciones de higiene oral a pacientes adultos,3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?,4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?,6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?,7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?,"8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?",9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?,"10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?",13. La higiene oral juega un rol causal en muchas enfermedades orales.,14. La persona promedio de mi país tiene buena salud oral.,15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral.,16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos.,17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes.,18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes.,"19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo.",20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos.,21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico.,22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.
9/8/2014 21:43:48,Chile,142E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Barrido,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 21:50:08,Chile,144E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,Si,Si,manual,no recomendaría,no recomendaría,Barrido,Si,no recomendaría,hilo dental,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 23:20:10,Chile,182E,Estudiante,cuando usted sienta que es necesario,Si,1-2 minutos,No,Si,manual,pequeño,no recomendaría,Barrido,Si,no recomendaría,hilo dental,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/11/2014 12:31:41,Chile,83D,Dentista,cuando usted sienta que es necesario,No,1-2 minutos,No,Si,manual,medio,1-3 meses,Barrido,Si,tamaño arveja ,ambos,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/11/2014 16:13:56,Chile,82D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,Barrido,Si,tamaño arveja ,hilo dental,Muy en desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/11/2014 16:41:16,Chile,79D,Dentista,en respuesta a una solicitud hecha para un consejo de higiene oral,Si,5 minutos,No,Si,manual,pequeño,3 meses,Barrido,Si,no recomendaría,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/11/2014 16:58:00,Chile,72D,Dentista,cuando usted sienta que es necesario,No,5 minutos,Si,No,no recomendaría,medio,3 meses,Barrido,Si,"mas que tamaño arveja, menos que 1/2 cabeza",ambos,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 17:58:01,Chile,116E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,3 meses,Barrido,Si,"mas que 1/2 cabeza, menos que cabeza",ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 19:14:48,Chile,37D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Barrido,,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 19:26:22,Chile,35D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Barrido,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/14/2014 23:30:54,Chile,174E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,1-3 meses,Barrido,Si,no recomendaría,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo
9/15/2014 1:40:53,Chile,189E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,1-3 meses,Barrido,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo
9/14/2014 19:38:05,Chile,33D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3-6 meses,Barrido,Si,menos que tamaño arveja,hilo dental,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 20:33:50,Chile,76E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,3 meses,Barrido,Si,"mas que 1/2 cabeza, menos que cabeza",ambos,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 20:36:15,Chile,77E,Estudiante,cuando usted sienta que es necesario,No,5 minutos,No,Si,manual,medio,no recomendaría,Barrido,Si,no recomendaría,hilo dental,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 23:23:18,Chile,48D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,1-3 meses,Barrido,Si,"muy poco, poco",hilo dental,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/14/2014 23:26:21,Chile,49E,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,1-3 meses,Barrido,No,no recomendaría,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,,,Muy en desacuerdo,Muy de acuerdo
9/14/2014 23:45:05,Chile,53D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Barrido,Si,"muy poco, poco",ambos,Muy de acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 0:18:20,Chile,61D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,pequeño,1-3 meses,Barrido,Si,tamaño arveja ,cepillos interdentales,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 0:24:00,Chile,63D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,recomendaría,recomendaría,Barrido,Si,menos que tamaño arveja,no recomendaría,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,,Muy de acuerdo
9/15/2014 0:26:14,Chile,64D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,Si,Si,manual,pequeño,3 meses,Barrido,Si,tamaño arveja ,recomendaría,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 0:28:47,Chile,65D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,No,Si,manual,pequeño,3 meses,Barrido,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 0:35:43,Chile,67D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,No,Si,manual,medio,1-3 meses,Barrido,Si,"mas que tamaño arveja, menos que 1/2 cabeza",ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 0:39:37,Chile,31D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,Si,Si,manual,pequeño,no recomendaría,Barrido,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 0:42:29,Chile,30D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,no recomendaría,medio,3 meses,Barrido,Si,no recomendaría,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 1:01:23,Chile,21D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,1-3 meses,Barrido,Si,tamaño arveja ,ambos,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/15/2014 1:21:48,Chile,11D,Dentista,en respuesta a una solicitud hecha para un consejo de higiene oral,No,1-2 minutos,Si,Si,manual,medio,1-3 meses,Barrido,Si,menos que tamaño arveja,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/15/2014 1:28:18,Chile,9D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,No,Si,manual,pequeño,1-3 meses,Barrido,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 1:36:23,Chile,4D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,1-3 meses,Barrido,Si,menos que tamaño arveja,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 1:38:05,Chile,3D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,1-3 meses,Barrido,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 12:52:50,Chile,195E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,Barrido o Bass modificada,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
8/29/2014 15:09:35,Chile,89D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,no recomendaría,Bass,Si,tamaño arveja ,ambos,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/1/2014 10:35:00,Chile,95E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/8/2014 10:41:00,Chile,89E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,1-3 meses,Bass,Si,no recomendaría,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo
9/8/2014 14:20:51,Chile,196E,Estudiante,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 14:47:55,Chile,206E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",No,10 minutos o más,No,Si,manual,no recomendaría,no recomendaría,Bass,Si,tamaño arveja ,hilo dental,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/8/2014 14:56:13,Chile,35E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,No,manual,pequeño,1-3 meses,Bass,Si,no recomendaría,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/8/2014 15:12:38,Chile,94D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,No,Si,manual,medio,1-3 meses,Bass,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,
9/8/2014 21:38:26,Chile,141E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,manual,medio,3 meses,Bass,Si,"muy poco, poco",hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/8/2014 23:27:04,Chile,207E,Estudiante,cuando usted sienta que es necesario,Si,1-2 minutos,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,hilo dental,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/11/2014 12:47:35,Chile,116D,Dentista,cuando usted sienta que es necesario,Si,1-2 minutos,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,hilo dental,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/11/2014 16:30:35,Chile,108D,Dentista,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass,Si,tamaño arveja ,hilo dental,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/11/2014 16:34:56,Chile,109D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,No,Si,manual,medio,1-3 meses,Bass,Si,no recomendaría,hilo dental,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/14/2014 16:39:55,Chile,210E,Estudiante,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,no recomendaría,1-3 meses,Bass,Si,no recomendaría,ambos,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 16:43:36,Chile,211E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,ambos,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/14/2014 16:46:56,Chile,213E,Estudiante,cuando usted sienta que es necesario,Si,5 minutos,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,ambos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/14/2014 17:00:13,Chile,212E,Estudiante,cuando usted sienta que es necesario,No,8 minutos,No,Si,manual,medio,3 meses,Bass,Si,no recomendaría,ambos,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/14/2014 17:05:29,Chile,208E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,no recomendaría,3 meses,Bass,Si,tamaño arveja ,hilo dental,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
9/14/2014 17:08:01,Chile,215E,Estudiante,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass,Si,no recomendaría,ambos,De acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 17:19:40,Chile,217E,Estudiante,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass,Si,no recomendaría,hilo dental,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 17:22:06,Chile,219E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,3 meses,Bass,Si,no recomendaría,hilo dental,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
9/14/2014 17:47:14,Chile,226E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,ambos,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 17:50:19,Chile,225E,Estudiante,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass,Si,no recomendaría,hilo dental,Muy en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 19:32:08,Chile,34D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,Si,Si,manual,pequeño,no recomendaría,Bass,Si,menos que tamaño arveja,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 23:27:51,Chile,112E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,medio,3 meses,Bass,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 0:50:59,Chile,26D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,pequeño,1-3 meses,Bass,,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
