"N","Timestamp","Pais","Código de participante","Ud es:","1. Entregaría recomendaciones de higiene oral a pacientes adultos","2. Entregaría recomendaciones de higiene oral a pacientes adultos","3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?","4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?","5. ¿Cómo entregaría sus consejos en higiene oral?","6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?","7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?","8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.d) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cepillar diariamente?","8.e) Cuando recomienda el cepillado dental, ¿cuánto tiempo recomendaría usted para cepillar?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?","9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?","10.a) Cuando recomienda pasta dental, ¿recomendaría usted un tipo de pasta dental?","10.b) Cuando recomienda pasta dental, ¿cual concentración de pasta dental recomendaría?","10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","10.d) Cuando recomienda pasta dental, ¿que tipo de enjuage recomendaría?","11. ¿Recomendaría limpieza interdental a todos los pacientes adultos?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?","12.b) Cuando recomienda la limpieza interdental, ¿cada cuanto recomienda utilizarlo?","12.c) Cuando recomienda la limpieza interdental, ¿demostraría una técnica ?","Año de egreso de pregrado:","gadi kops beigsanas","Año egreso higienistas","Curso actual","Curso higienistas"," 13. La higiene oral juega un rol causal en muchas enfermedades orales."," 14. La persona promedio de mi país tiene buena salud oral."," 15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral."," 16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos."," 17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes."," 18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes."," 19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo."," 20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos."," 21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico."," 22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.","23. En promedio, ¿cuantas clases, prácticos, conferencias, seminarios o tutorías ha tenido en consejos de higiene oral para los pacientes?","24. ¿Siente que ha tenido suficiente formación en este aspecto de la atención al paciente y la prevención de enfermedades?","25. En su opinión ¿qué formación adicional siente que es necesaria?","26. ¿Se siente seguro/a en la actualidad entregando recomendaciones de higiene oral a pacientes adultos?","27. ¿ Se siente seguro/a en la actualidad de ser capaz de modificar la higiene oral aconsejando a una persona?","28. Si su respuesta es “No” a las preguntas 26. y 27  ¿por qué?","Comentarios de respondente"
1,"9/8/2014 21:43:48","Chile","142E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","Si",,
1,"9/8/2014 21:50:08","Chile","144E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","1-2 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","no recomendaría","no recomendaría",3,"no recomendaría","Barrido","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","Si","hilo dental","con cada cepillado ","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","No","Si","Falta de experiencia",
1,"9/8/2014 23:20:10","Chile","182E","Estudiante","cuando usted sienta que es necesario","en la primera cita del plan de tratamiento","Si","1-2 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","no recomendaría",3,"3-5","Barrido","Si","con fluor",2500,"no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,4,,"De acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/11/2014 12:31:41","Chile","83D","Dentista","cuando usted sienta que es necesario","ocasionalmente","No","1-2 minutos","Demostraciones","No","Si","manual","medio","1-3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","No","ambos","2 veces al día","Si",1985,29,,,,"De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","pacientes siguen los consejos un par de veces y después de un tiempo vuelven a hacer lo mismo que han hecho toda la vida",
1,"9/11/2014 16:13:56","Chile","82D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3 meses","después de cada comida","3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","No","hilo dental","1 vez al día","Si",1989,25,,,,"Muy en desacuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","0-4","Si","Clases teóricas, Experiencia con pacientes propios","Si","No","falta de compromiso del paciente",
1,"9/11/2014 16:41:16","Chile","79D","Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,3,"Barrido","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","No",2002,12,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/11/2014 16:58:00","Chile","72D","Dentista","cuando usted sienta que es necesario","ocasionalmente","No","5 minutos","Comunicación verbal, Demostraciones","Si","No","no recomendaría","medio","3 meses",2,"3-5","Barrido","Si","con fluor","1000-1500","mas que tamaño arveja, menos que 1/2 cabeza","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","No",1991,23,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si",,"Si","Si",,
1,"9/14/2014 17:58:01","Chile","116E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","mas que 1/2 cabeza, menos que cabeza","no recomendaría","Si","ambos","3 veces al día","No",,,,5,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si","Falta de experiencia",
1,"9/14/2014 19:14:48","Chile","37D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","pequeño","3 meses",3,"5 - 10","Barrido",,"con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","hilo dental","1 vez al día","Si",2007,7,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 19:26:22","Chile","35D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","Al menos 1 vez al día","Si",1990,24,,,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","20 y más","Si",,"Si","Si",,
1,"9/14/2014 23:30:54","Chile","174E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","Barrido","Si","no recomendaría","no recomendaría","no recomendaría","no recomendaría","No","ambos","no recomendaría","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 1:40:53","Chile","189E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",3,"3-5","Barrido","Si","no recomendaría","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","Si","Falta de experiencia",
1,"9/14/2014 19:38:05","Chile","33D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3-6 meses",3,"no recomendaría","Barrido","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",2008,6,,,,"De acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 20:33:50","Chile","76E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","mas que 1/2 cabeza, menos que cabeza","no recomendaría","Si","ambos","3 veces al día","Si",,,,5,,"De acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 20:36:15","Chile","77E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","no recomendaría",3,3,"Barrido","Si","con fluor","1400-5000","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","0-4","Si","Demostraciones prácticas","Si","No","falta de compromiso del paciente",
1,"9/14/2014 23:23:18","Chile","48D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",3,2,"Barrido","Si","con fluor","1000-1500","muy poco, poco","enjuagar la pasta de dientes con agua","Si","hilo dental","3 veces al día","No",2005,9,,,,"Muy de acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","20 y más","Si",,"Si","Si",,
1,"9/14/2014 23:26:21","Chile","49E","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",3,"recomendaría","Barrido","No","con fluor","2500-5000","no recomendaría","recomendaría","Si","hilo dental","1 vez al día","Si",1988,26,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",,,"Muy en desacuerdo","Muy de acuerdo","0-4","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 23:45:05","Chile","53D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","2500-5000","muy poco, poco","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",1988,26,,,,"Muy de acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","10-19","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 0:18:20","Chile","61D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","pequeño","1-3 meses",3,3,"Barrido","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","cepillos interdentales","1 vez al día","Si",2006,8,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","20 y más","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 0:24:00","Chile","63D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","recomendaría","recomendaría",3,"3-5","Barrido","Si","con fluor","recomendaría","menos que tamaño arveja","enjuagar la pasta de dientes con agua","No","no recomendaría","Al menos 1 vez al día","Si",2000,14,,,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",,"Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales","Si","No",,
1,"9/15/2014 0:26:14","Chile","64D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal","Si","Si","manual","pequeño","3 meses","después de cada comida","3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","no recomendaría","No","recomendaría","1 vez al día","Si",2006,8,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 0:28:47","Chile","65D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",2012,2,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 0:35:43","Chile","67D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","1-3 meses",3,3,"Barrido","Si","con fluor","1000-1500","mas que tamaño arveja, menos que 1/2 cabeza","escupir la pasta de dientes, pero no enjuagar","Si","ambos","con cada cepillado ","Si",2012,2,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas","Si","No","falta de cooperacion de los pacientes",
